Deanna Ross,778-230-5730,deanna.ross@bcit.ca
Robert Mann,778-159-1152,robert.mann@bcit.ca
Joshua Meyer,778-500-6113,joshua.meyer@bcit.ca
Rachel Sanchez,236-057-9517,rachel.sanchez@bcit.ca
Curtis Lopez,778-269-3083,curtis.lopez@bcit.ca
Jonathan Phillips,236-169-6400,jonathan.phillips@bcit.ca
Madeline Pace,604-235-0916,madeline.pace@bcit.ca
Jennifer Moore,604-702-3735,jennifer.moore@bcit.ca
Robert Scott,236-018-9928,robert.scott@bcit.ca
Katherine Adkins,778-907-7263,katherine.adkins@bcit.ca
Shawn Pham,778-827-9743,shawn.pham@bcit.ca
Nichole Morris,778-976-7735,nichole.morris@bcit.ca
Charles Walls,236-503-1402,charles.walls@bcit.ca
Matthew Cohen,236-012-2271,matthew.cohen@bcit.ca
Kyle Green,236-594-5021,kyle.green@bcit.ca
Shirley Richard,778-040-4455,shirley.richard@bcit.ca
Teresa Gill,604-278-5329,teresa.gill@bcit.ca
Brittany Delacruz,604-696-7141,brittany.delacruz@bcit.ca
Jason Allen,778-886-2135,jason.allen@bcit.ca
Amanda Bradley,778-310-5546,amanda.bradley@bcit.ca
